clinic_name|clinic_link|id_doctor|doctor_specialization|doctor_experience
Стоматология «Realdent»|https://prodoctorov.ru/novosibirsk/lpu/28926-realdent/|0|Стоматолог-хирург, стоматолог, стоматолог-имплантолог, стоматолог-ортопед|28
Стоматология «Realdent»|https://prodoctorov.ru/novosibirsk/lpu/28926-realdent/|1|Стоматолог|28
Стоматология «Realdent»|https://prodoctorov.ru/novosibirsk/lpu/28926-realdent/|2|Стоматолог|20
Стоматология «Realdent»|https://prodoctorov.ru/novosibirsk/lpu/28926-realdent/|3|Стоматолог|2
Стоматология «Пломба» на Романова|https://prodoctorov.ru/novosibirsk/lpu/54982-stomatologiya-plomba-na-romanova/|0|Стоматолог|11
Стоматология «Пломба» на Романова|https://prodoctorov.ru/novosibirsk/lpu/54982-stomatologiya-plomba-na-romanova/|1|Стоматолог-ортопед, стоматолог-имплантолог, стоматолог-хирург|21
Стоматология «Пломба» на Романова|https://prodoctorov.ru/novosibirsk/lpu/54982-stomatologiya-plomba-na-romanova/|2|Стоматолог|16
Стоматология «Пломба» на Романова|https://prodoctorov.ru/novosibirsk/lpu/54982-stomatologiya-plomba-na-romanova/|3|Стоматолог|1
Стоматология «Пломба» на Романова|https://prodoctorov.ru/novosibirsk/lpu/54982-stomatologiya-plomba-na-romanova/|4|Стоматолог-ортопед|10
Стоматология «Пломба» на Романова|https://prodoctorov.ru/novosibirsk/lpu/54982-stomatologiya-plomba-na-romanova/|5|Стоматолог|-
Стоматология «White provenance»|https://prodoctorov.ru/novosibirsk/lpu/71559-white-dental-clinic/|0|Стоматолог|22
Стоматология «White provenance»|https://prodoctorov.ru/novosibirsk/lpu/71559-white-dental-clinic/|1|Стоматолог|8
Стоматология «White provenance»|https://prodoctorov.ru/novosibirsk/lpu/71559-white-dental-clinic/|2|Пародонтолог, стоматолог-имплантолог, стоматолог-хирург|5
Стоматология «White provenance»|https://prodoctorov.ru/novosibirsk/lpu/71559-white-dental-clinic/|3|Стоматолог, стоматолог-ортопед|9
Стоматология «White provenance»|https://prodoctorov.ru/novosibirsk/lpu/71559-white-dental-clinic/|4|Стоматолог, детский стоматолог|31
Стоматология «White provenance»|https://prodoctorov.ru/novosibirsk/lpu/71559-white-dental-clinic/|5|Стоматолог-ортопед, гнатолог|22
Стоматология «White provenance»|https://prodoctorov.ru/novosibirsk/lpu/71559-white-dental-clinic/|6|Стоматолог-ортодонт|21
Стоматология «White provenance»|https://prodoctorov.ru/novosibirsk/lpu/71559-white-dental-clinic/|7|Стоматолог-имплантолог, стоматолог-хирург|7
Стоматология «White provenance»|https://prodoctorov.ru/novosibirsk/lpu/71559-white-dental-clinic/|8|Стоматолог-ортодонт|6
Стоматология «White provenance»|https://prodoctorov.ru/novosibirsk/lpu/71559-white-dental-clinic/|9|Гнатолог, стоматолог-ортопед|10
Стоматология «White provenance»|https://prodoctorov.ru/novosibirsk/lpu/71559-white-dental-clinic/|10|Стоматолог-гигиенист|9
«Клиника Пасман» на Карамзина|https://prodoctorov.ru/novosibirsk/lpu/61690-klinika-pasman-na-karamzina/|0|Хирург, абдоминальный хирург, малоинвазивный хирург, эндоскопист|11
«Клиника Пасман» на Карамзина|https://prodoctorov.ru/novosibirsk/lpu/61690-klinika-pasman-na-karamzina/|1|Проктолог (колопроктолог), хирург, малоинвазивный хирург|34
«Клиника Пасман» на Карамзина|https://prodoctorov.ru/novosibirsk/lpu/61690-klinika-pasman-na-karamzina/|2|Андролог, уролог|29
«Клиника Пасман» на Карамзина|https://prodoctorov.ru/novosibirsk/lpu/61690-klinika-pasman-na-karamzina/|3|Бариатрический хирург, онколог, хирург|19
«Клиника Пасман» на Карамзина|https://prodoctorov.ru/novosibirsk/lpu/61690-klinika-pasman-na-karamzina/|4|Сосудистый хирург, флеболог|36
«Клиника Пасман» на Карамзина|https://prodoctorov.ru/novosibirsk/lpu/61690-klinika-pasman-na-karamzina/|5|Пластический хирург|25
«Клиника Пасман» на Карамзина|https://prodoctorov.ru/novosibirsk/lpu/61690-klinika-pasman-na-karamzina/|6|Онколог|15
«Клиника Пасман» на Карамзина|https://prodoctorov.ru/novosibirsk/lpu/61690-klinika-pasman-na-karamzina/|7|Проктолог (колопроктолог)|19
«Клиника Пасман» на Карамзина|https://prodoctorov.ru/novosibirsk/lpu/61690-klinika-pasman-na-karamzina/|8|Онколог-маммолог, маммолог, онколог, пластический хирург|15
«Клиника Пасман» на Карамзина|https://prodoctorov.ru/novosibirsk/lpu/61690-klinika-pasman-na-karamzina/|9|Стоматолог|19
