clinic_name|clinic_link|category_name|service_name|service_price_min|service_link
Стоматология «Realdent»|https://prodoctorov.ru/novosibirsk/lpu/28926-realdent/|Имплантация зубов и костнопластические операции|SURE DERM-Бесклеточный дермальный матрикс (мембрана)|8000|None
Стоматология «Realdent»|https://prodoctorov.ru/novosibirsk/lpu/28926-realdent/|Имплантация зубов и костнопластические операции|Абатмент временный на коронку пластмассовую(Temporary Abutment: crown)размер: NC|7500|None
Стоматология «Realdent»|https://prodoctorov.ru/novosibirsk/lpu/28926-realdent/|Имплантация зубов и костнопластические операции|Внутрикостная дентальная имплантация на системе OSSTEM, NEO CMI IMPLANT|22000|None
Стоматология «Realdent»|https://prodoctorov.ru/novosibirsk/lpu/28926-realdent/|Имплантация зубов и костнопластические операции|Внутрикостная дентальная имплантация на системе OSSTEM, NEO CMI IMPLANT на металлокерамическом протезе|44000|None
Стоматология «Realdent»|https://prodoctorov.ru/novosibirsk/lpu/28926-realdent/|Имплантация зубов и костнопластические операции|Внутрикостная дентальная имплантация на системе OSSTEM, NEO CMI IMPLANT на цельнокерамическом протезе|58000|None
Стоматология «Realdent»|https://prodoctorov.ru/novosibirsk/lpu/28926-realdent/|Имплантация зубов и костнопластические операции|Внутрикостная дентальная имплантация на системе OSSTEM TS-SOI на металлокерамическом протезе|50000|None
Стоматология «Realdent»|https://prodoctorov.ru/novosibirsk/lpu/28926-realdent/|Имплантация зубов и костнопластические операции|Внутрикостная дентальная имплантация на системе OSSTEM TS-SOI на цельнокерамическом протезе|66000|None
Стоматология «Realdent»|https://prodoctorov.ru/novosibirsk/lpu/28926-realdent/|Имплантация зубов и костнопластические операции|Внутрикостная дентальная имплантация на системе OSSTEM (серии SS с фрезерованной шейкой) на цельнокерамическом протезе|68000|None
Стоматология «Realdent»|https://prodoctorov.ru/novosibirsk/lpu/28926-realdent/|Имплантация зубов и костнопластические операции|Внутрикостная дентальная имплантация на системе OSSTEM (серия SS III SA с фрезерованной шейкой) на металлокерамическом протезе|56000|None
Стоматология «Realdent»|https://prodoctorov.ru/novosibirsk/lpu/28926-realdent/|Имплантация зубов и костнопластические операции|Внутрикостная дентальная имплантация на системе STRAUMANN|48000|None
Стоматология «Realdent»|https://prodoctorov.ru/novosibirsk/lpu/28926-realdent/|Имплантация зубов и костнопластические операции|Внутрикостная дентальная имплантация на системе STRAUMANN SLA ACTIVE|42000|None
Стоматология «Realdent»|https://prodoctorov.ru/novosibirsk/lpu/28926-realdent/|Имплантация зубов и костнопластические операции|Внутрикостная дентальная имплантация на системе STRAUMANN SLA ACTIVE (Швейцария) на металлокерамическом протезе|78000|None
Стоматология «Realdent»|https://prodoctorov.ru/novosibirsk/lpu/28926-realdent/|Имплантация зубов и костнопластические операции|Внутрикостная дентальная имплантация на системе STRAUMANN SLA ACTIVE(Швейцария) на цельнокерамическом протезе|97000|None
Стоматология «Realdent»|https://prodoctorov.ru/novosibirsk/lpu/28926-realdent/|Имплантация зубов и костнопластические операции|Внутрикостная дентальная имплантация на системе STRAUMANN (Швейцария) на металлокерамическом протезе|72000|None
Стоматология «Realdent»|https://prodoctorov.ru/novosibirsk/lpu/28926-realdent/|Имплантация зубов и костнопластические операции|Внутрикостная дентальная имплантация на системе STRAUMANN (Швейцария) на цельнокерамическом протезе|99000|None
Стоматология «Realdent»|https://prodoctorov.ru/novosibirsk/lpu/28926-realdent/|Имплантация зубов и костнопластические операции|Внутрикостная дентальная имплантация. Установка формирователя десны фирмы "OSSTEM". NEO CMI IMPLANT|5000|None
Стоматология «Realdent»|https://prodoctorov.ru/novosibirsk/lpu/28926-realdent/|Имплантация зубов и костнопластические операции|Внутрикостная дентальная имплантация. Установка формирователя десны фирмы "STRAUMANN".|7500|None
Стоматология «Realdent»|https://prodoctorov.ru/novosibirsk/lpu/28926-realdent/|Имплантация зубов и костнопластические операции|Индивидуальный композитный сэндвич(консервация оперативного поля)|4000|None
Стоматология «Realdent»|https://prodoctorov.ru/novosibirsk/lpu/28926-realdent/|Имплантация зубов и костнопластические операции|Использование пластины из титана SMART BUILDER для НКР|20000|None
Стоматология «Realdent»|https://prodoctorov.ru/novosibirsk/lpu/28926-realdent/|Имплантация зубов и костнопластические операции|Лечение перикоронарита (промывание, рассечение и/или иссечение капюшона)|1500|None
Стоматология «Realdent»|https://prodoctorov.ru/novosibirsk/lpu/28926-realdent/|Имплантация зубов и костнопластические операции|Направленная костная регенерация с BiositSR-ELKOR Лиофилизированый костный аллотрансплантат, порошок / крошка кортикальной кости (0,25 грамм)|4000|None
Стоматология «Realdent»|https://prodoctorov.ru/novosibirsk/lpu/28926-realdent/|Имплантация зубов и костнопластические операции|Направленная костная регенерация с GUIDOR Лиофилизированый костный аллотрансплантат, порошок / крошка кортикальной кости (0,1 грамм)|6500|None
Стоматология «Realdent»|https://prodoctorov.ru/novosibirsk/lpu/28926-realdent/|Имплантация зубов и костнопластические операции|Направленная костная регенерация с GUIDOR Лиофилизированый костный аллотрансплантат, порошок / крошка кортикальной кости (0,25 грамм)|15000|None
Стоматология «Realdent»|https://prodoctorov.ru/novosibirsk/lpu/28926-realdent/|Имплантация зубов и костнопластические операции|Направленная костная регенерация с GUIDOR Лиофилизированый костный аллотрансплантат, порошок / крошка кортикальной кости (0,4 грамм)|24000|None
Стоматология «Realdent»|https://prodoctorov.ru/novosibirsk/lpu/28926-realdent/|Имплантация зубов и костнопластические операции|Направленная костная регенерация с ShureOss Лиофилизированый костный аллотрансплантат, порошок / крошка кортикальной кости (0,1 грамм)|8500|None
Стоматология «Realdent»|https://prodoctorov.ru/novosibirsk/lpu/28926-realdent/|Имплантация зубов и костнопластические операции|Направленная костная регенерация с ShureOss Лиофилизированый костный аллотрансплантат, порошок / крошка кортикальной кости (0,25 грамм)|18000|None
Стоматология «Realdent»|https://prodoctorov.ru/novosibirsk/lpu/28926-realdent/|Имплантация зубов и костнопластические операции|Направленная костная регенерация с ShureOss Лиофилизированый костный аллотрансплантат, порошок / крошка кортикальной кости (0,5 грамм)|35000|None
Стоматология «Realdent»|https://prodoctorov.ru/novosibirsk/lpu/28926-realdent/|Имплантация зубов и костнопластические операции|Обслуживание имплантата|4000|None
Стоматология «Realdent»|https://prodoctorov.ru/novosibirsk/lpu/28926-realdent/|Имплантация зубов и костнопластические операции|Операция по остеоденсификации DENSAH BUR (США)|18000|None
Стоматология «Realdent»|https://prodoctorov.ru/novosibirsk/lpu/28926-realdent/|Имплантация зубов и костнопластические операции|Открытый синус-лифтинг (костная пластика, остеопластика)|65000|None
Стоматология «Realdent»|https://prodoctorov.ru/novosibirsk/lpu/28926-realdent/|Имплантация зубов и костнопластические операции|Планирование навигационной хирургии с использованием шаблона 3D|15000|None
Стоматология «Realdent»|https://prodoctorov.ru/novosibirsk/lpu/28926-realdent/|Имплантация зубов и костнопластические операции|Пластика перфорации верхнечелюстной пазухи|4500|None
Стоматология «Realdent»|https://prodoctorov.ru/novosibirsk/lpu/28926-realdent/|Имплантация зубов и костнопластические операции|Работа с мягкими тканями (пластика десны) вокруг имплантат|22000|None
Стоматология «Realdent»|https://prodoctorov.ru/novosibirsk/lpu/28926-realdent/|Имплантация зубов и костнопластические операции|Расщепление альвеолярного гребня|40000|None
Стоматология «Realdent»|https://prodoctorov.ru/novosibirsk/lpu/28926-realdent/|Имплантация зубов и костнопластические операции|Синус-лифтинг (костная пластика, остеопластика)|35000|None
Стоматология «Realdent»|https://prodoctorov.ru/novosibirsk/lpu/28926-realdent/|Имплантация зубов и костнопластические операции|Установка ортодонтического микроимплантата (ВСЕ ЭТАПЫ ВКЛЮЧЕНЫ-"ПОД КЛЮЧ"))|14000|None
Стоматология «Realdent»|https://prodoctorov.ru/novosibirsk/lpu/28926-realdent/|Общие услуги|OPTRA GATE ретрактор для увеличения рабочего поля|200|None
Стоматология «Realdent»|https://prodoctorov.ru/novosibirsk/lpu/28926-realdent/|Общие услуги|Визуальное исследование при патологии полости рта|10|None
Стоматология «Realdent»|https://prodoctorov.ru/novosibirsk/lpu/28926-realdent/|Общие услуги|Внешний осмотр челюстно-лицевой области|10|None
Стоматология «Realdent»|https://prodoctorov.ru/novosibirsk/lpu/28926-realdent/|Общие услуги|Диспансерный прием (осмотр, консультация, выдача справки) врача-стоматолога-терапевта-Один прием|300|None
Стоматология «Realdent»|https://prodoctorov.ru/novosibirsk/lpu/28926-realdent/|Общие услуги|Интралигаментаная местная анестезия|600|None
Стоматология «Realdent»|https://prodoctorov.ru/novosibirsk/lpu/28926-realdent/|Общие услуги|Осмотр полости рта с помощью дополнительных инструментов|10|None
Стоматология «Realdent»|https://prodoctorov.ru/novosibirsk/lpu/28926-realdent/|Общие услуги|Пальпация органов полости рта|10|None
Стоматология «Realdent»|https://prodoctorov.ru/novosibirsk/lpu/28926-realdent/|Общие услуги|Перкуссия при патологии полости рта|10|None
Стоматология «Realdent»|https://prodoctorov.ru/novosibirsk/lpu/28926-realdent/|Общие услуги|Прием (осмотр, консультация) врача-стоматолога-терапевта первичный-Один прием|10|None
Стоматология «Realdent»|https://prodoctorov.ru/novosibirsk/lpu/28926-realdent/|Общие услуги|Прием (осмотр, консультация) врача-стоматолога-терапевта повторный-Один прием|10|None
Стоматология «Realdent»|https://prodoctorov.ru/novosibirsk/lpu/28926-realdent/|Общие услуги|Прием (осмотр, консультация) врача-стоматолога терапевта с использованием индивидуального смотрового набора (программа АнтиСПИД).|300|None
Стоматология «Realdent»|https://prodoctorov.ru/novosibirsk/lpu/28926-realdent/|Общие услуги|Профилактический прием (осмотр, консультация) врача-стоматолога-терапевта-Один прием|10|None
