category_name|service_name|service_price_min|service_link
-|Аппарат Френкеля|3000|https://prodoctorov.ru/novosibirsk/uslugi/apparat-frenkelya/
-|Плазмолифтинг десен|1500|https://prodoctorov.ru/novosibirsk/uslugi/plazmolifting-desen/
-|Удаление инородного тела из зубного канала|345|https://prodoctorov.ru/novosibirsk/uslugi/udalenie-inorodnogo-tela-iz-zubnogo-kanala/
-|Шинирование зуба|600|https://prodoctorov.ru/novosibirsk/uslugi/shinirovanie-zuba/
Лечение зубов|Лечение зубов под наркозом|880|https://prodoctorov.ru/novosibirsk/uslugi/lechenie-zubov-pod-narkozom/
Лечение зубов|Лечение каналов|91|https://prodoctorov.ru/novosibirsk/uslugi/lechenie-kanalov/
Лечение зубов|Лечение кариеса|190|https://prodoctorov.ru/novosibirsk/uslugi/lechenie-kariesa/
Лечение зубов|Лечение кариеса ICON|1000|https://prodoctorov.ru/novosibirsk/uslugi/lechenie-kariesa-icon/
Лечение зубов|Лечение кариеса лазером|5600|https://prodoctorov.ru/novosibirsk/uslugi/lechenie-kariesa-lazerom/
Лечение зубов|Лечение пульпита|100|https://prodoctorov.ru/novosibirsk/uslugi/lechenie-pulpita/
Лечение зубов|Наращивание зубов|3500|https://prodoctorov.ru/novosibirsk/uslugi/narashivanie-zubov/
Лечение зубов|Реставрация зубов|300|https://prodoctorov.ru/novosibirsk/uslugi/restavraciya-zubov/
Лечение зубов|Удаление старой пломбы|200|https://prodoctorov.ru/novosibirsk/uslugi/udalenie-staroy-plomby/
Лечение зубов|Шлифовка/полировка зубов|50|https://prodoctorov.ru/novosibirsk/uslugi/shlifovkapolirovka-zubov/
Пародонтология|Кюретаж пародонтального кармана|100|https://prodoctorov.ru/novosibirsk/uslugi/kyuretazh-parodontalnogo-karmana/
Пародонтология|Лечение гингивита|150|https://prodoctorov.ru/novosibirsk/uslugi/lechenie-gingivita/
Пародонтология|Лечение пародонтита|200|https://prodoctorov.ru/novosibirsk/uslugi/lechenie-parodontita/
Пародонтология|Лечение пародонтоза|800|https://prodoctorov.ru/novosibirsk/uslugi/lechenie-parodontoza/
Пародонтология|Лечение периодонтита|665|https://prodoctorov.ru/novosibirsk/uslugi/lechenie-periodontita/
Пародонтология|Лечение периостита|350|https://prodoctorov.ru/novosibirsk/uslugi/lechenie-periostita/
Украшения на зубы|Скайсы на зубы|500|https://prodoctorov.ru/novosibirsk/uslugi/skaysy-na-zuby/
Украшения на зубы|Стразы на зубах|200|https://prodoctorov.ru/novosibirsk/uslugi/strazy-na-zubah/
Чистка зубов|Герметизация фиссур у взрослых|70|https://prodoctorov.ru/novosibirsk/uslugi/germetizaciya-fissur-u-vzroslyh/
Чистка зубов|Гигиеническая чистка зубов|45|https://prodoctorov.ru/novosibirsk/uslugi/gigienicheskaya-chistka/
Чистка зубов|Покрытие зуба защитным лаком|50|https://prodoctorov.ru/novosibirsk/uslugi/pokrytie-zuba-zashitnym-lakom/
Чистка зубов|Покрытие зубов фторлаком|10|https://prodoctorov.ru/novosibirsk/uslugi/pokrytie-zubov-ftorlakom/
Чистка зубов|Снятие зубных отложений|30|https://prodoctorov.ru/novosibirsk/uslugi/snyatie-zubnyh-otlozheniy/
Чистка зубов|Удаление зубного камня|22|https://prodoctorov.ru/novosibirsk/uslugi/udalenie-zubnogo-kamnya/
Чистка зубов|Фторирование зубов|20|https://prodoctorov.ru/novosibirsk/uslugi/ftorirovanie-zubov/
Чистка зубов|Чистка зубов Air Flow|55|https://prodoctorov.ru/novosibirsk/uslugi/chistka-zubov-air-flow/
Чистка зубов|Чистка зубов ультразвуком|22|https://prodoctorov.ru/novosibirsk/uslugi/chistka-zubov-ultrazvukom/
Отбеливание зубов|Лазерное отбеливание зубов|450|https://prodoctorov.ru/novosibirsk/uslugi/lazernoe-otbelivanie-zubov/
Отбеливание зубов|Отбеливание зубов Amazing White|8000|https://prodoctorov.ru/novosibirsk/uslugi/otbelivanie-zubov-amazing-white/
Отбеливание зубов|Отбеливание зубов Luma Cool|300|https://prodoctorov.ru/novosibirsk/uslugi/otbelivanie-zubov-luma-cool/
Отбеливание зубов|Отбеливание зубов Opalescence|250|https://prodoctorov.ru/novosibirsk/uslugi/otbelivanie-zubov-opalescence/
Отбеливание зубов|Отбеливание зубов ZOOM|4000|https://prodoctorov.ru/novosibirsk/uslugi/otbelivanie-zubov-zoom/
Отбеливание зубов|Фотоотбеливание зубов|7650|https://prodoctorov.ru/novosibirsk/uslugi/fotootbelivanie-zubov/
Хирургическая стоматология|Вестибулопластика|117|https://prodoctorov.ru/novosibirsk/uslugi/vestibuloplastika/
Хирургическая стоматология|Гемисекция зуба|1150|https://prodoctorov.ru/novosibirsk/uslugi/gemisekciya-zuba/
Хирургическая стоматология|Гингивопластика|470|https://prodoctorov.ru/novosibirsk/uslugi/gingivoplastika-plastika-desny/
Хирургическая стоматология|Гингивэктомия|350|https://prodoctorov.ru/novosibirsk/uslugi/gingivektomiya/
Хирургическая стоматология|Иссечение капюшона зуба мудрости|205|https://prodoctorov.ru/novosibirsk/uslugi/issechenie-kapyushona-zuba-mudrosti/
Хирургическая стоматология|Лечение альвеолита|360|https://prodoctorov.ru/novosibirsk/uslugi/lechenie-alveolita/
Хирургическая стоматология|Остеосинтез челюсти|9999|https://prodoctorov.ru/novosibirsk/uslugi/osteosintez-chelyusti/
Хирургическая стоматология|Остеотомия челюсти|470|https://prodoctorov.ru/novosibirsk/uslugi/osteotomiya-chelyusti/
Хирургическая стоматология|Пластика уздечки губы|360|https://prodoctorov.ru/novosibirsk/uslugi/plastika-uzdechki-guby/
Хирургическая стоматология|Пластика уздечки языка|195|https://prodoctorov.ru/novosibirsk/uslugi/issechenie-kapyushona-zuba-mudrostiplastika-uzdechki-yazyka/
Хирургическая стоматология|Резекция верхушки корня зуба|800|https://prodoctorov.ru/novosibirsk/uslugi/rezekciya-verhushki-kornya-zuba/
Хирургическая стоматология|Секвестрэктомия|720|https://prodoctorov.ru/novosibirsk/uslugi/sekvestrektomiya/
Хирургическая стоматология|Сложное удаление зуба|300|https://prodoctorov.ru/novosibirsk/uslugi/slozhnoe-udalenie-zuba/
Хирургическая стоматология|Удаление зуба|182|https://prodoctorov.ru/novosibirsk/uslugi/udalenie-zuba/
Хирургическая стоматология|Удаление зуба мудрости|570|https://prodoctorov.ru/novosibirsk/uslugi/udalenie-zuba-mudrosti/
Хирургическая стоматология|Удаление зуба ультразвуком|1500|https://prodoctorov.ru/novosibirsk/uslugi/udalenie-zuba-ultrazvukom/
Хирургическая стоматология|Удаление зубов под наркозом|1512|https://prodoctorov.ru/novosibirsk/uslugi/udalenie-zubov-pod-narkozom/
Хирургическая стоматология|Удаление кисты зуба (цистэктомия)|500|https://prodoctorov.ru/novosibirsk/uslugi/udalenie-kisty-zuba/
Хирургическая стоматология|Удаление экзостоза|500|https://prodoctorov.ru/novosibirsk/uslugi/udalenie-ekzostoza/
Хирургическая стоматология|Удаление эпулиса|5500|https://prodoctorov.ru/novosibirsk/uslugi/udalenie-epulisa/
Хирургическая стоматология|Шинирование челюсти|750|https://prodoctorov.ru/novosibirsk/uslugi/shinirovanie-chelyusti/
Имплантация зубов|Базальная имплантация зубов|31000|https://prodoctorov.ru/novosibirsk/uslugi/bazalnaya-implantaciya-zubov/
