clinic_name|clinic_link|id_doctor|doctor_specialization|doctor_experience
Стоматология «Аврора»|https://prodoctorov.ru/tomsk/lpu/83267-avrora/|0|Стоматолог-ортопед|28
Стоматология «Аврора»|https://prodoctorov.ru/tomsk/lpu/83267-avrora/|1|Стоматолог|10
Стоматология «Аврора»|https://prodoctorov.ru/tomsk/lpu/83267-avrora/|2|Детский стоматолог, стоматолог|13
Стоматология «Аврора»|https://prodoctorov.ru/tomsk/lpu/83267-avrora/|3|Стоматолог|38
Стоматология «Аврора»|https://prodoctorov.ru/tomsk/lpu/83267-avrora/|4|Стоматолог-ортопед|12
Стоматология «Аврора»|https://prodoctorov.ru/tomsk/lpu/83267-avrora/|5|Стоматолог, стоматолог-ортопед|12
Стоматология «Аврора»|https://prodoctorov.ru/tomsk/lpu/83267-avrora/|6|Стоматолог-ортопед|11
Стоматология «Аврора»|https://prodoctorov.ru/tomsk/lpu/83267-avrora/|7|Стоматолог-ортопед, стоматолог|7
Стоматология «Аврора»|https://prodoctorov.ru/tomsk/lpu/83267-avrora/|8|Стоматолог|11
Стоматология «Аврора»|https://prodoctorov.ru/tomsk/lpu/83267-avrora/|9|Стоматолог-хирург, стоматолог-имплантолог|7
Стоматология «Аврора»|https://prodoctorov.ru/tomsk/lpu/83267-avrora/|10|Стоматолог-гигиенист|8
Стоматология «Аврора»|https://prodoctorov.ru/tomsk/lpu/83267-avrora/|11|Стоматолог-имплантолог, стоматолог-хирург|5
Стоматология «Аврора»|https://prodoctorov.ru/tomsk/lpu/83267-avrora/|12|Стоматолог-гигиенист|5
Стоматология «Аврора»|https://prodoctorov.ru/tomsk/lpu/83267-avrora/|13|Стоматолог|4
Стоматология «Аврора»|https://prodoctorov.ru/tomsk/lpu/83267-avrora/|14|Анестезиолог-реаниматолог|27
Стоматология «Меджик Клиник»|https://prodoctorov.ru/tomsk/lpu/83954-medzhik-klinik/|0|Стоматолог-хирург|11
Стоматология «Меджик Клиник»|https://prodoctorov.ru/tomsk/lpu/83954-medzhik-klinik/|1|Стоматолог-ортодонт|11
Стоматология «Меджик Клиник»|https://prodoctorov.ru/tomsk/lpu/83954-medzhik-klinik/|2|Стоматолог-хирург|6
Стоматология «Меджик Клиник»|https://prodoctorov.ru/tomsk/lpu/83954-medzhik-klinik/|3|Стоматолог-ортопед|2
Стоматология «Меджик Клиник»|https://prodoctorov.ru/tomsk/lpu/83954-medzhik-klinik/|4|Стоматолог|-
Стоматология «Меджик Клиник»|https://prodoctorov.ru/tomsk/lpu/83954-medzhik-klinik/|5|Стоматолог-гигиенист|4
Стоматология «Смайл клиник» на Ленина|https://prodoctorov.ru/tomsk/lpu/65546-smayl-klinik/|0|Стоматолог-гигиенист|19
Стоматология «Смайл клиник» на Ленина|https://prodoctorov.ru/tomsk/lpu/65546-smayl-klinik/|1|Стоматолог-хирург, стоматолог-имплантолог, челюстно-лицевой хирург|9
Стоматология «Смайл клиник» на Ленина|https://prodoctorov.ru/tomsk/lpu/65546-smayl-klinik/|2|Стоматолог, детский стоматолог|9
Стоматология «Смайл клиник» на Ленина|https://prodoctorov.ru/tomsk/lpu/65546-smayl-klinik/|3|Стоматолог-хирург|6
Стоматология «Смайл клиник» на Ленина|https://prodoctorov.ru/tomsk/lpu/65546-smayl-klinik/|4|Стоматолог|12
