clinic_name|clinic_link|category_name|service_name|service_price_min|service_link
Стоматология «Аврора»|https://prodoctorov.ru/tomsk/lpu/83267-avrora/|Детская стоматология|Кариес|5000|None
Стоматология «Аврора»|https://prodoctorov.ru/tomsk/lpu/83267-avrora/|Детская стоматология|Комплексная профессиональная чистка зубов у детей до 12 лет (обе челюсти)|2500|None
Стоматология «Аврора»|https://prodoctorov.ru/tomsk/lpu/83267-avrora/|Детская стоматология|Пульпит молочных зубов|6500|None
Стоматология «Аврора»|https://prodoctorov.ru/tomsk/lpu/83267-avrora/|Детская стоматология|Пульпит постоянных зубов|10200|None
Стоматология «Аврора»|https://prodoctorov.ru/tomsk/lpu/83267-avrora/|Диагностика|Консультация любого специалиста|1|None
Стоматология «Аврора»|https://prodoctorov.ru/tomsk/lpu/83267-avrora/|Диагностика|Профосмотр|1|None
Стоматология «Аврора»|https://prodoctorov.ru/tomsk/lpu/83267-avrora/|Имплантация|Дентальная имплантация (Dentium, Ю.Корея)|23000|None
Стоматология «Аврора»|https://prodoctorov.ru/tomsk/lpu/83267-avrora/|Имплантация|Дентальная имплантация NOBEL (Швейцария)|37500|None
Стоматология «Аврора»|https://prodoctorov.ru/tomsk/lpu/83267-avrora/|Имплантация|Синуслифтинг (простой случай)|60000|None
Стоматология «Аврора»|https://prodoctorov.ru/tomsk/lpu/83267-avrora/|Лечение зубов|Кариес жевательных зубов|5700|None
Стоматология «Аврора»|https://prodoctorov.ru/tomsk/lpu/83267-avrora/|Лечение зубов|Кариес передних зубов|5900|None
Стоматология «Аврора»|https://prodoctorov.ru/tomsk/lpu/83267-avrora/|Лечение зубов|Периодонтит постоянных зубов|12700|None
Стоматология «Аврора»|https://prodoctorov.ru/tomsk/lpu/83267-avrora/|Пародонтология|Микропротезирование 1 отсутствующего зуба|7700|None
Стоматология «Аврора»|https://prodoctorov.ru/tomsk/lpu/83267-avrora/|Пародонтология|Шинирование 1 зуба|3700|None
Стоматология «Аврора»|https://prodoctorov.ru/tomsk/lpu/83267-avrora/|Протезирование|Бюгельный протез (на 1 челюсть)|40000|None
Стоматология «Аврора»|https://prodoctorov.ru/tomsk/lpu/83267-avrora/|Протезирование|Временная коронка (на этап протезирования, 1 единица)|2000|None
Стоматология «Аврора»|https://prodoctorov.ru/tomsk/lpu/83267-avrora/|Протезирование|Коронка (металлокерамическая)|9700|None
Стоматология «Аврора»|https://prodoctorov.ru/tomsk/lpu/83267-avrora/|Протезирование|Коронка (металлокерамическая методом CAD\CAM)|12000|None
Стоматология «Аврора»|https://prodoctorov.ru/tomsk/lpu/83267-avrora/|Протезирование|Коронка (цельнокерамические)|18000|None
Стоматология «Аврора»|https://prodoctorov.ru/tomsk/lpu/83267-avrora/|Протезирование|Полный съемный акриловый протез (на 1 челюсть)|35000|None
Стоматология «Аврора»|https://prodoctorov.ru/tomsk/lpu/83267-avrora/|Протезирование|Частичный съемный акриловый протез (на 1 челюсть)|35000|None
Стоматология «Аврора»|https://prodoctorov.ru/tomsk/lpu/83267-avrora/|Протезирование|Частичный съемный термопластичный (нейлоновый) протез (на 1 челюсть)|35000|None
Стоматология «Аврора»|https://prodoctorov.ru/tomsk/lpu/83267-avrora/|Профилактика и гигиена|Комплексная профессиональная чистка зубов|3800|None
Стоматология «Аврора»|https://prodoctorov.ru/tomsk/lpu/83267-avrora/|Удаление зубов|Удаление зуба с разрушенной коронковой частью|2250|None
Стоматология «Аврора»|https://prodoctorov.ru/tomsk/lpu/83267-avrora/|Удаление зубов|Удаление зуба с сохранившейся коронковой частью(при большой подвижности зуба вследствие заболевания пародонта)|1630|None
Стоматология «Аврора»|https://prodoctorov.ru/tomsk/lpu/83267-avrora/|Хирургия|Синуслифтинг(с использованием остеопластических материалов)|60000|None
Стоматология «Dent Help» (ранее «Help»)|https://prodoctorov.ru/tomsk/lpu/31630-help/|02 - Общие манипуляции|Анестезия с учетом индивидуальных особенностей состояния здоровья|660|None
Стоматология «Dent Help» (ранее «Help»)|https://prodoctorov.ru/tomsk/lpu/31630-help/|02 - Общие манипуляции|Аппликация лекарственного препарата на слизистую оболочку полости рта (Фиксация Диплен Ленты)|320|None
Стоматология «Dent Help» (ранее «Help»)|https://prodoctorov.ru/tomsk/lpu/31630-help/|02 - Общие манипуляции|Диатермокоагуляция при патологии полости рта и зубов|320|None
Стоматология «Dent Help» (ранее «Help»)|https://prodoctorov.ru/tomsk/lpu/31630-help/|02 - Общие манипуляции|Дополнительное отстроченное КТ исследование (любая анатомическая область) в течение 1 года после первого исследования|1600|None
