clinic_name|clinic_rating|clinic_address|clinic_phone|count_doctors|clinic_link
Стоматология «Аврора»|4.79|Томск, ул. Учебная, д. 26|+7 382 298-46-30|15|https://prodoctorov.ru/tomsk/lpu/83267-avrora/
Стоматология «Меджик Клиник»|4.428333333333334|Томск, ул. Карла Маркса, д. 3|+7 382 270-91-33|6|https://prodoctorov.ru/tomsk/lpu/83954-medzhik-klinik/
Стоматология «Смайл клиник» на Ленина|5.366666666666667|Томск, пр. Ленина, д. 186|-|14|https://prodoctorov.ru/tomsk/lpu/65546-smayl-klinik/
Стоматология «Cosmodent» на Иркутском тракте|4.79|Томск, Иркутский тракт, 5|+7 382 298-46-44|14|https://prodoctorov.ru/tomsk/lpu/43765-cosmodent/
Стоматология «Диамед» на Карташова|4.635000000000001|Томск, ул. Карташова, д. 23а|+7 382 299-41-70|18|https://prodoctorov.ru/tomsk/lpu/87098-diamed/
Стоматология «Диамед» на Фрунзе|4.635000000000001|Томск, пр. Фрунзе, д. 25|+7 382 299-57-10|9|https://prodoctorov.ru/tomsk/lpu/31658-diamed/
Клиника «Диамед» на Красноармейской|4.635000000000001|Томск, ул. Красноармейская, д. 96|+7 382 248-96-72|12|https://prodoctorov.ru/tomsk/lpu/45247-diamed/
Стоматология «Альфа»|4.48|Томск, просп. Фрунзе, д. 25|-|9|https://prodoctorov.ru/tomsk/lpu/78784-stomatologiya-alfa/
«Стоматология доктора Федоровой» (ранее «Эквадор»)|3.7483333333333335|Томск, ул. Карташова, д. 35|-|4|https://prodoctorov.ru/tomsk/lpu/31711-ekvador/
«Томская стоматология»|3.5416666666666665|Томск, ул. Карла Маркса, д. 54|+7 382 299-53-04|5|https://prodoctorov.ru/tomsk/lpu/36850-tomskaya-stomatologiya/
Стоматология «Dent Help» (ранее «Help»)|3.3349999999999995|Томск, ул. Учебная, д. 35-Г|+7 960 975-30-77|7|https://prodoctorov.ru/tomsk/lpu/31630-help/
Стоматология «Стомпрофи плюс» на Лесном|1.6133333333333333|Томск, переулок Лесной, д. 4|+7 906 950-13-42|5|https://prodoctorov.ru/tomsk/lpu/65658-stomatologiya-stomprofi-plyus-na-lesnom/
Стоматология «Нежность»|5.366666666666667|Томск, ул. Кузнецова, д. 30/1|+7 382 298-41-08|19|https://prodoctorov.ru/tomsk/lpu/13133-nezhnost-stomatologicheskiy-kabinet/
Стоматология «Демократ»|4.6866666666666665|Томск, ул. Розы Люксембург, д. 19|+7 961 096-44-15|6|https://prodoctorov.ru/tomsk/lpu/85141-demokrat/
Стоматология «Карат»|4.48|Томск, ул. Усова, д. 37|+7 382 299-53-17|7|https://prodoctorov.ru/tomsk/lpu/57981-karat/
