category_name|service_name|service_price_min|service_link
-|Аппарат Френкеля|26000|https://prodoctorov.ru/tomsk/uslugi/apparat-frenkelya/
-|Плазмолифтинг десен|3000|https://prodoctorov.ru/tomsk/uslugi/plazmolifting-desen/
-|Удаление инородного тела из зубного канала|370|https://prodoctorov.ru/tomsk/uslugi/udalenie-inorodnogo-tela-iz-zubnogo-kanala/
-|Шинирование зуба|1205|https://prodoctorov.ru/tomsk/uslugi/shinirovanie-zuba/
Лечение зубов|Лечение зубов под наркозом|3500|https://prodoctorov.ru/tomsk/uslugi/lechenie-zubov-pod-narkozom/
Лечение зубов|Лечение каналов|180|https://prodoctorov.ru/tomsk/uslugi/lechenie-kanalov/
Лечение зубов|Лечение кариеса|110|https://prodoctorov.ru/tomsk/uslugi/lechenie-kariesa/
Лечение зубов|Лечение кариеса ICON|970|https://prodoctorov.ru/tomsk/uslugi/lechenie-kariesa-icon/
Лечение зубов|Лечение пульпита|450|https://prodoctorov.ru/tomsk/uslugi/lechenie-pulpita/
Лечение зубов|Наращивание зубов|630|https://prodoctorov.ru/tomsk/uslugi/narashivanie-zubov/
Лечение зубов|Реставрация зубов|250|https://prodoctorov.ru/tomsk/uslugi/restavraciya-zubov/
Лечение зубов|Удаление старой пломбы|100|https://prodoctorov.ru/tomsk/uslugi/udalenie-staroy-plomby/
Лечение зубов|Шлифовка/полировка зубов|100|https://prodoctorov.ru/tomsk/uslugi/shlifovkapolirovka-zubov/
Пародонтология|Кюретаж пародонтального кармана|100|https://prodoctorov.ru/tomsk/uslugi/kyuretazh-parodontalnogo-karmana/
Пародонтология|Лечение гингивита|2000|https://prodoctorov.ru/tomsk/uslugi/lechenie-gingivita/
Пародонтология|Лечение пародонтита|500|https://prodoctorov.ru/tomsk/uslugi/lechenie-parodontita/
Пародонтология|Лечение пародонтоза|2000|https://prodoctorov.ru/tomsk/uslugi/lechenie-parodontoza/
Пародонтология|Лечение периодонтита|1500|https://prodoctorov.ru/tomsk/uslugi/lechenie-periodontita/
Пародонтология|Лечение периостита|1000|https://prodoctorov.ru/tomsk/uslugi/lechenie-periostita/
Украшения на зубы|Скайсы на зубы|300|https://prodoctorov.ru/tomsk/uslugi/skaysy-na-zuby/
Украшения на зубы|Стразы на зубах|300|https://prodoctorov.ru/tomsk/uslugi/strazy-na-zubah/
Чистка зубов|Герметизация фиссур у взрослых|156|https://prodoctorov.ru/tomsk/uslugi/germetizaciya-fissur-u-vzroslyh/
Чистка зубов|Гигиеническая чистка зубов|50|https://prodoctorov.ru/tomsk/uslugi/gigienicheskaya-chistka/
Чистка зубов|Покрытие зуба защитным лаком|50|https://prodoctorov.ru/tomsk/uslugi/pokrytie-zuba-zashitnym-lakom/
Чистка зубов|Покрытие зубов фторлаком|15|https://prodoctorov.ru/tomsk/uslugi/pokrytie-zubov-ftorlakom/
Чистка зубов|Снятие зубных отложений|50|https://prodoctorov.ru/tomsk/uslugi/snyatie-zubnyh-otlozheniy/
Чистка зубов|Удаление зубного камня|50|https://prodoctorov.ru/tomsk/uslugi/udalenie-zubnogo-kamnya/
Чистка зубов|Фторирование зубов|30|https://prodoctorov.ru/tomsk/uslugi/ftorirovanie-zubov/
Чистка зубов|Чистка зубов Air Flow|70|https://prodoctorov.ru/tomsk/uslugi/chistka-zubov-air-flow/
Чистка зубов|Чистка зубов ультразвуком|50|https://prodoctorov.ru/tomsk/uslugi/chistka-zubov-ultrazvukom/
Отбеливание зубов|Лазерное отбеливание зубов|2200|https://prodoctorov.ru/tomsk/uslugi/lazernoe-otbelivanie-zubov/
Отбеливание зубов|Отбеливание зубов Amazing White|9600|https://prodoctorov.ru/tomsk/uslugi/otbelivanie-zubov-amazing-white/
Отбеливание зубов|Отбеливание зубов Opalescence|200|https://prodoctorov.ru/tomsk/uslugi/otbelivanie-zubov-opalescence/
Отбеливание зубов|Отбеливание зубов ZOOM|300|https://prodoctorov.ru/tomsk/uslugi/otbelivanie-zubov-zoom/
Отбеливание зубов|Фотоотбеливание зубов|1200|https://prodoctorov.ru/tomsk/uslugi/fotootbelivanie-zubov/
